train_loss_step,epoch,step,val_loss,train_loss_epoch
1.2463487109926064e-05,0,49,,
,0,59,2.2380158043233678e-05,
,0,59,,0.00018540197925176471
3.6999026633566245e-06,1,99,,
,1,119,4.028642251796555e-06,
,1,119,,7.980076588864904e-06
2.4788537302811164e-06,2,149,,
,2,179,1.9533604245225433e-06,
,2,179,,2.5556248601787956e-06
1.7070360627258196e-06,3,199,,
,3,239,1.4153299616737058e-06,
,3,239,,1.639750166759768e-06
1.3668695828528143e-06,4,249,,
1.1408528735046275e-06,4,299,,
,4,299,1.1369837693564477e-06,
,4,299,,1.2693742519331863e-06
9.768473319127224e-07,5,349,,
,5,359,9.46595832829189e-07,
,5,359,,1.0377582384535344e-06
8.489201945849345e-07,6,399,,
,6,419,8.007862106751418e-07,
,6,419,,8.727107569939108e-07
7.410410489683272e-07,7,449,,
,7,479,6.835783779024496e-07,
,7,479,,7.411030651383044e-07
6.512699997074378e-07,8,499,,
,8,539,5.925770096837368e-07,
,8,539,,6.361375994856644e-07
5.814108021695574e-07,9,549,,
5.247115950623993e-07,9,599,,
,9,599,5.23698929555394e-07,
,9,599,,5.576111448135634e-07
4.756619489398872e-07,10,649,,
,10,659,4.658593866224692e-07,
,10,659,,4.942986606693012e-07
4.3280320483063406e-07,11,699,,
,11,719,4.161193771778926e-07,
,11,719,,4.409196776578028e-07
3.948817379750835e-07,12,749,,
,12,779,3.7377020589701715e-07,
,12,779,,3.947891684674687e-07
3.6184457030685735e-07,13,799,,
,13,839,3.389671121567517e-07,
,13,839,,3.5598245062828937e-07
3.3442992730670085e-07,14,849,,
3.0987757781986147e-07,14,899,,
,14,899,3.094025373684417e-07,
,14,899,,3.242559500904463e-07
2.8498988058345276e-07,15,949,,
,15,959,2.8022816422890173e-07,
,15,959,,2.948959263449069e-07
2.650209580679075e-07,16,999,,
,16,1019,2.576782094365626e-07,
,16,1019,,2.6876693937083473e-07
2.485699610588199e-07,17,1049,,
,17,1079,2.39749283537094e-07,
,17,1079,,2.48567260996424e-07
2.3452530228951218e-07,18,1099,,
,18,1139,2.2390253207049682e-07,
,18,1139,,2.3179593711120106e-07
2.2167859015098657e-07,19,1149,,
2.1021341467530874e-07,19,1199,,
,19,1199,2.1004274231017916e-07,
,19,1199,,2.1694683027817518e-07
1.9969721165580268e-07,20,1249,,
,20,1259,1.9756939195758605e-07,
,20,1259,,2.0375546228024177e-07
1.901983495145032e-07,21,1299,,
,21,1319,1.8632923115546873e-07,
,21,1319,,1.9198188283553463e-07
1.8102372223438579e-07,22,1349,,
,22,1379,1.7521018946808908e-07,
,22,1379,,1.8092215725573624e-07
1.7156574472210195e-07,23,1399,,
,23,1439,1.635901583085797e-07,
,23,1439,,1.6946786729477026e-07
1.6206199404678046e-07,24,1449,,
1.5475168879675039e-07,24,1499,,
,24,1499,1.54615037217809e-07,
,24,1499,,1.589698115367355e-07
1.4840082940281718e-07,25,1549,,
,25,1559,1.4707255502344196e-07,
,25,1559,,1.5086017413068475e-07
1.4251862978653662e-07,26,1599,,
,26,1619,1.4012967142207344e-07,
,26,1619,,1.43619161008246e-07
1.368956930036802e-07,27,1649,,
,27,1679,1.3364552842176636e-07,
,27,1679,,1.36881482148965e-07
1.3176591551200545e-07,28,1699,,
,28,1739,1.2780677138835017e-07,
,28,1739,,1.3075054994260427e-07
1.2697022100383037e-07,29,1749,,
1.2255179626663448e-07,29,1799,,
,29,1799,1.2245988045833656e-07,
